movie_title,production_budget_usd,worldwide_budget_usd
The Rise and Fall of Miss Thang,10000.00,401.00
The Dark Hours,400000.00,423.00
Destiny,750000.00,450.00
Bang,10000.00,527.00
Ed and his Dead Mother,1800000.00,673.00
The Jimmy Show,1000000.00,703.00
Perrier’s Bounty,6600000.00,828.00
In Her Line of Fire,1000000.00,884.00
The Mongol King,7000.00,900.00
"To Be Frank, Sinatra at 100",2000000.00,926.00
Childless,1000000.00,1036.00
B-Girl,700000.00,1160.00
The Trials of Darryl Hunt,200000.00,1217.00
Skin Trade,0.00,1242.00
Grip: A Criminal's Story,12000.00,1336.00
Return to the Land of Wonders,5000.00,1338.00
Keeping it Real: The Adventures of Greg Walloch,100000.00,1358.00
Eddie: The Sleepwalking Cannibal,1400000.00,1632.00
The Looking Glass,300000.00,1711.00
Detention of the Dead,500000.00,1778.00
Born to Fly: Elizabeth Streb vs. Gravity,500000.00,1822.00
On the Down Low,10000.00,1987.00
"Me, You and Five Bucks",1500000.00,2105.00
Yoga Hosers,5000000.00,2199.00
Veronika Decides to Die,9000000.00,2243.00
The Ghastly Love of Johnny X,2000000.00,2436.00
Sparrows Dance,175000.00,2602.00
The Sleepwalker,1100000.00,2636.00
Tracker,6500000.00,3149.00
Carousel,3380000.00,3220.00
Along the Roadside,250000.00,3234.00
Windsor Drive,850000.00,3256.00
I Love Your Work,1600000.00,3264.00
Drunk Wedding,600000.00,3301.00
Mi America,2100000.00,3330.00
Broken Horses,15000000.00,3471.00
Locker 13,300000.00,3496.00
Emily,27000.00,3547.00
Raymond Did It,40000.00,3632.00
The Word,200000.00,3648.00
The Helix…Loaded,1000000.00,3700.00
The Harvest/La Cosecha,560000.00,3709.00
The Californians,500000.00,4134.00
La navaja de Don Juan,1200000.00,4254.00
Inescapable,4000000.00,4327.00
Newlyweds,9000.00,4584.00
My Big Fat Independent Movie,3000000.00,4655.00
In Dubious Battle,15000000.00,4892.00
Supporting Characters,60000.00,4917.00
"Peace, Propaganda and the Promised Land",70000.00,4930.00
The Grimm Brothers' Snow White,26000000.00,5000.00
Tanner Hall,3000000.00,5073.00
Say Uncle,2000000.00,5361.00
Loving Annabelle,1000000.00,5382.00
Sparkler,1000000.00,5494.00
Top Spin,150000.00,5858.00
Solitude,200000.00,6260.00
I Am Wrath,18000000.00,6784.00
The Sisterhood of Night,1000000.00,6870.00
The Case of the Grinning Cat,200000.00,7033.00
Antarctic Edge: 70º South,150000.00,7193.00
The Giant Mechanical Man,900000.00,7396.00
Little Big Top,240000.00,7484.00
Area 51,5000000.00,7556.00
Dreaming of Joseph Lees,3250000.00,7680.00
Certifiably Jonathan,1200000.00,7826.00
Everything Put Together,500000.00,7890.00
They Will Have to Kill Us First,600000.00,7943.00
And Then Came Love,989000.00,8158.00
Pink Narcissus,27000.00,8231.00
Grace,5000000.00,8297.00
Counting,50000.00,8374.00
Julija in alfa Romeo,560000.00,8462.00
Absentia,70000.00,8555.00
Dawn of the Crescent Moon,75000.00,8799.00
Janky Promoters,10000000.00,9069.00
Faith Connections,550000.00,9111.00
Revolution#9,350000.00,9118.00
Anatomie,2500000.00,9598.00
Down Terrace,30000.00,9812.00
Camp X-Ray,1000000.00,9837.00
Taxman,3500000.00,9871.00
Circle,2000000.00,10024.00
Naturally Native,700000.00,10508.00
Fighting Tommy Riley,300000.00,10514.00
Jerusalema,2000000.00,10679.00
"First Love, Last Rites",300000.00,10876.00
The Lovers,35000000.00,11106.00
16 to Life,1000000.00,11574.00
Falcon Rising,4500000.00,11774.00
Hross i oss,10000000.00,11894.00
The Living Wake,500000.00,12232.00
The Loved Ones,4000000.00,12302.00
Vaalu,1900000.00,12444.00
Gory Gory Hallelujah,425000.00,12604.00
August,3400000.00,12636.00
London,2000000.00,12667.00
The Last Time I Committed Suicide,4000000.00,12836.00
Night Lights,250000.00,12848.00
The Specials,1000000.00,12996.00
The Slaughter Rule,500000.00,13134.00
Forget Me Not,1300000.00,13465.00
As It Is in Heaven,450000.00,13486.00
Outside Bet,7500000.00,13524.00
Don McKay,6000000.00,13722.00
Dolphin,170000.00,14000.00
Opal Dreams,9000000.00,14443.00
10 Days in a Madhouse,12000000.00,14616.00
Starsuckers,640000.00,14812.00
Major Dundee,3800000.00,14873.00
Trade of Innocents,5800000.00,15091.00
Hits,1000000.00,15156.00
All Hat,4900000.00,15198.00
The Work and the Story,103000.00,16137.00
The Dress,2650000.00,16556.00
Los insolitos peces gato,1300000.00,16653.00
Crying With Laughter,820000.00,16909.00
The First Time ,2000000.00,17061.00
Speedway Junky,1000000.00,17127.00
Nothing But a Man,300000.00,17241.00
Molly,21000000.00,17396.00
Butterfly Girl,180000.00,17503.00
Sonny,4000000.00,17639.00
Karachi se Lahore,1000000.00,17721.00
The Missing Person,2000000.00,17896.00
Test,250000.00,18823.00
Akira,8000000.00,19585.00
The Open Road,10000000.00,19716.00
The Journey,500000.00,19800.00
The Dead Girl,3300000.00,19875.00
The Past is a Grotesque Animal,100000.00,20056.00
A Room for Romeo Brass,5250000.00,20097.00
Sticky Fingers of Time,250000.00,20628.00
Return of the Living Dead 3,2000000.00,21000.00
Safe Men,1000000.00,21210.00
Two Lovers and a Bear,6840000.00,22273.00
The Last Big Thing,1000000.00,22434.00
The Good Night,15000000.00,22441.00
Poultrygeist: Night of the Chicken Dead,450000.00,22623.00
All the Queen's Men,15000000.00,22723.00
Arnolds Park,600000.00,23616.00
R100,5500000.00,24956.00
The Exploding Girl,40000.00,25572.00
Griff the Invisible,2900000.00,25935.00
Lake of Fire,6000000.00,26007.00
"Pink Ribbons, Inc.",1200000.00,26608.00
Special,1000000.00,26822.00
Departure,1100000.00,27561.00
Salvation Boulevard,5500000.00,28468.00
Plush,2000000.00,28864.00
Automata,15000000.00,29050.00
Time to Choose,3500000.00,29233.00
Redemption Road,2300000.00,29384.00
Lumea e a mea,168000.00,29827.00
Happy Christmas,70000.00,30312.00
L!fe Happens,930000.00,30905.00
Super Capers,2000000.00,30955.00
Fabled,400000.00,31425.00
Good,16000000.00,31631.00
Pontypool,1500000.00,31916.00
Kiss the Bride,500000.00,32033.00
The Calling,160000.00,32092.00
Song One,6000000.00,32544.00
Black November,7500000.00,32572.00
Speak No Evil,150000.00,32927.00
Spoken Word,4500000.00,32961.00
Sisters in Law,300000.00,33312.00
I Love You … Don't Touch Me!,68000.00,33598.00
The Velocity of Gary,4000000.00,34145.00
Underdogs,2500000.00,35017.00
Growing up Smith,2000000.00,35312.00
Not Cool,800000.00,35688.00
Trudno byt bogom,7000000.00,35919.00
"Surfer, Dude",6000000.00,36497.00
Polina danser sa vie,4000000.00,36630.00
This Thing of Ours,2000000.00,37227.00
Chicken Tikka Masala,2160000.00,37865.00
3 Backyards,300000.00,39475.00
Just Looking,3000000.00,39852.00
The Opposite Sex,3300000.00,40262.00
Down for Life,3800000.00,41914.00
Siakh lokhamim: ha'slilim ha'gnouzim,450000.00,42503.00
Water & Power,600000.00,42557.00
The Watermelon Woman,300000.00,42735.00
Jackpot,400000.00,44452.00
Defendor,3750000.00,44462.00
La mariée était en noir ,747000.00,44566.00
Side Effects,200000.00,44701.00
Lost River,2000000.00,45431.00
An Alan Smithee Film: Burn Hollywood Burn,10000000.00,45779.00
Ca$h,7000000.00,46488.00
Interview with the Assassin,750000.00,47329.00
Open Road,3000000.00,47469.00
Madadayo,11900000.00,48856.00
The Chumscrubber,6800000.00,49526.00
The Motel,250000.00,51540.00
The Perfect Host,1000000.00,51587.00
Fong juk,4500000.00,51957.00
Trucker,1500000.00,52429.00
Good Dick,200000.00,52443.00
Aloft,8000000.00,53086.00
Finishing the Game,500000.00,53201.00
Johnny Suede,500000.00,55000.00
Incident at Loch Ness,1400000.00,56073.00
Beyond the Black Rainbow,1100000.00,56491.00
Harvard Man,5500000.00,56653.00
The Young Unknowns,800000.00,58163.00
Wal-Mart: The High Cost of Low Price,1500000.00,58692.00
